number,E,index,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,displ_Bi,displ_Fe,displ_O,norm,min_d
4641,-9999.0,POSCAR192165,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.13,-0.05,0.0,0.0,0.0,0.92,0.84,-0.42,0.0,0.0,0.0,0.0,0.0,0.568,0.019,0.828,1.599,1.812
4642,-9999.0,POSCAR192175,-0.13,0.0,0.0,0.0,0.0,-1.08,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,0.0,0.37,0.0,0.17,0.0,0.0,0.288,0.153,0.438,1.517,1.905
4643,-9999.0,POSCAR192221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,-0.73,0.0,0.23,0.25,-0.9,0.0,0.0,-0.7,0.0,0.0,0.517,0.091,1.059,1.735,1.801
4644,-9999.0,POSCAR192240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.48,0.0,-1.18,0.0,0.0,-0.18,-0.32,0.0,0.0,0.18,0.374,0.065,0.772,1.378,1.918
4645,-9999.0,POSCAR192383,0.0,0.0,0.0,0.0,0.64,-0.93,0.0,0.7,0.08,0.0,0.0,0.0,0.0,0.89,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.507,0.136,0.708,1.62,1.927
4646,-9999.0,POSCAR192404,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,-0.31,-0.26,0.94,0.0,0.0,0.7,0.0,0.0,-0.55,0.0,0.56,0.148,0.686,1.36,1.816
4647,-9999.0,POSCAR192427,0.0,0.0,0.33,0.0,0.0,0.0,-0.94,0.0,0.58,0.6,0.0,0.0,0.0,0.0,0.0,-0.28,0.0,0.0,0.0,0.0,-0.5,0.62,0.155,0.721,1.42,1.838
4648,-9999.0,POSCAR192546,0.0,0.0,0.38,-0.71,0.0,-0.34,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.98,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.633,0.076,0.96,1.57,1.869
4649,-9999.0,POSCAR192550,0.0,1.02,0.0,0.0,-0.11,0.2,0.0,0.0,0.0,-0.4,0.0,0.13,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.045,1.359,1.561,1.803
4650,-9999.0,POSCAR192589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33,0.49,0.0,0.0,0.38,0.0,1.19,0.26,0.0,0.76,0.0,0.0,0.0,0.0,0.488,0.05,0.738,1.598,1.849
